dataset,mode,accuracy_mean,accuracy_std,macro_accuracy_mean,macro_accuracy_std,hierarchical_accuracy_mean,hierarchical_accuracy_std,hierarchical_f1_mean,hierarchical_f1_std,folds
BSD10k-full,audio,77.09,0.64,69.88,1.36,76.49,0.96,75.20,0.90,5
BSD10k-full,both,79.98,0.66,74.32,0.77,79.66,0.75,78.65,0.61,5
